"","usertasklist","taskcompletion","usertaskname","usertaskdesp"
"1","1","Yes!","Rising Star","Complete 5 tasks in one week"
"2","3","Yes!","Sharing is Caring","Post about UW Club Journey on your social media"
"3","5","Yes!","Exploring","Talk to five club representatives"
"4","9","Yes!","Founder","Start your own club"
"5","23","No :((","HuskyLink","Use the HuskyLink platform once"
"6","48","No :((","Insta Guru","Post about your club on Instagram"
"7","51","No :((","Recruiter","Recruit 1 new member to your club"
"8","67","Yes!","Club Baby I","Go to your first club event"
"9","84","No :((","Social Good","Participate in one BLM-UW / Divest UW / ... event"
"10","92","No :((","WOAH!","Rank first place in the top chart"
"11","372","Yes!","Virtual Club Fair","Go to the virtual club fair"